iter	Passed	Remaining
343	546	1042
344	547	1038
345	547	1035
346	548	1031
347	548	1028
348	549	1024
349	549	1020
350	550	1017
351	550	1013
352	551	1010
353	551	1006
354	552	1003
355	552	999
356	553	996
357	553	992
358	554	989
359	554	985
360	555	982
361	555	979
362	556	975
363	556	972
364	557	969
365	557	965
366	558	962
367	558	959
368	559	956
369	559	952
370	560	949
371	560	946
372	561	944
373	562	941
374	562	937
375	563	934
376	563	931
377	564	928
378	564	925
379	565	922
380	565	919
381	566	915
382	566	912
383	567	909
384	567	906
385	568	903
386	568	900
387	569	897
388	569	894
389	570	892
390	571	890
391	572	888
392	573	885
393	574	883
394	575	881
395	577	881
396	578	878
397	579	876
398	579	873
399	580	870
400	581	868
401	582	865
402	582	863
403	583	860
404	584	858
405	584	855
406	585	853
407	586	850
408	586	847
409	587	845
410	587	842
411	588	839
412	589	838
413	590	835
414	590	832
415	591	830
416	592	828
417	593	826
418	594	823
419	594	821
420	595	818
421	596	816
422	596	813
423	597	811
424	598	809
425	598	807
426	599	804
427	600	802
428	600	799
429	601	796
430	602	794
431	604	794
432	605	792
433	608	793
434	608	790
435	610	789
436	611	788
437	612	786
438	613	783
439	614	781
440	614	779
441	615	777
442	616	775
443	617	772
444	617	770
445	618	768
446	618	765
447	619	763
448	619	760
449	620	758
450	621	756
451	621	753
452	623	752
453	623	750
454	624	748
455	625	745
456	626	744
457	629	744
458	630	742
459	630	740
460	631	738
461	631	735
462	632	733
463	633	731
464	634	729
465	634	727
466	635	725
467	635	722
468	636	720
469	637	718
470	639	717
471	639	715
472	640	713
473	642	712
474	642	710
475	643	708
476	644	706
477	644	703
478	645	701
479	645	699
480	646	697
481	647	695
482	647	693
483	648	691
484	648	688
485	649	686
486	649	684
487	650	682
488	650	680
489	651	678
490	652	676
491	653	674
492	654	673
493	655	671
494	655	668
495	656	666
496	656	664
497	657	662
498	657	660
499	658	658
500	658	656
501	659	654
502	660	652
503	660	650
504	661	648
505	661	646
506	662	644
507	662	641
508	663	639
509	664	638
510	664	636
511	665	634
512	665	632
513	666	630
514	666	628
515	668	626
516	669	625
517	669	623
518	670	621
519	671	619
520	671	617
521	672	615
522	672	613
523	673	611
524	674	609
525	674	607
526	675	605
527	675	604
528	676	602
529	676	600
530	677	598
531	678	596
532	678	594
533	679	592
534	680	591
535	680	589
536	681	587
537	682	585
538	682	583
539	683	582
540	683	580
541	684	578
542	685	576
543	685	574
544	686	573
545	687	571
546	687	569
547	688	567
548	689	566
549	689	564
550	690	562
551	691	560
552	691	559
553	692	557
554	693	555
555	693	553
556	694	552
557	695	551
558	696	549
559	696	547
560	697	545
561	697	543
562	698	542
563	703	544
564	704	542
565	705	540
566	705	538
567	706	537
568	706	535
569	707	533
570	707	531
571	708	530
572	719	535
573	719	534
574	720	532
575	721	531
576	721	529
577	722	527
578	723	526
579	724	524
580	725	522
581	725	521
582	726	519
583	726	517
584	727	516
585	728	514
586	728	512
587	729	511
588	729	509
589	730	507
590	731	506
591	732	504
592	732	502
593	733	501
594	733	499
595	734	497
596	734	496
597	735	494
598	736	492
599	736	491
600	737	489
601	737	487
602	738	486
603	738	484
604	739	482
605	740	481
606	740	479
607	741	477
608	742	476
609	742	474
610	743	473
611	744	471
612	744	470
613	745	468
614	746	467
615	746	465
616	748	464
617	749	463
618	749	461
619	750	459
620	750	458
621	751	456
622	752	455
623	753	453
624	753	452
625	754	450
626	754	448
627	755	447
628	755	445
629	756	444
630	756	442
631	757	440
632	757	439
633	758	437
634	758	436
635	759	434
636	759	432
637	760	431
638	760	429
639	762	428
640	762	427
641	763	425
642	763	424
643	764	422
644	764	421
645	765	419
646	766	417
647	766	416
648	766	414
649	767	413
650	768	411
651	768	410
652	769	408
653	769	407
654	770	405
655	770	404
656	771	402
657	772	401
658	772	399
659	773	398
660	773	396
661	774	395
662	775	394
663	775	392
664	777	391
665	777	390
666	779	389
667	779	387
668	780	386
669	780	384
670	781	383
671	781	381
672	782	380
673	782	378
674	783	377
675	783	375
676	784	374
677	784	372
678	785	371
679	785	369
680	786	368
681	786	366
682	787	365
683	789	364
684	790	363
685	793	363
686	795	362
687	796	361
688	796	359
689	797	358
690	798	356
691	798	355
692	799	354
693	800	352
694	801	351
695	801	350
696	802	348
697	803	347
698	803	346
699	805	345
700	805	343
701	806	342
702	807	340
703	808	339
704	808	338
705	809	336
706	809	335
707	810	334
708	810	332
709	811	331
710	811	329
711	812	328
712	812	327
713	813	325
714	813	324
715	814	322
716	814	321
717	815	320
718	815	318
719	816	317
720	816	316
721	817	314
722	818	313
723	818	312
724	819	310
725	819	309
726	820	307
727	820	306
728	821	305
729	821	303
730	823	303
731	824	301
732	825	300
733	825	299
734	826	297
735	826	296
736	827	295
737	827	293
738	828	292
739	828	291
740	829	289
741	830	288
742	830	287
743	831	286
744	831	284
745	832	283
746	833	282
747	834	280
748	834	279
749	835	278
750	835	277
751	836	275
752	836	274
753	837	273
754	839	272
755	839	270
756	840	269
757	840	268
758	841	267
759	841	265
760	842	264
761	842	263
762	843	261
763	843	260
764	844	259
765	844	258
766	845	256
767	846	255
768	846	254
769	847	253
770	847	251
771	848	250
772	848	249
773	849	247
774	849	246
775	850	245
776	850	244
777	851	242
778	853	242
779	854	240
780	855	239
781	856	238
782	857	237
783	857	236
784	858	235
785	858	233
786	859	232
787	859	231
788	860	230
789	861	228
790	861	227
791	862	226
792	862	225
793	863	224
794	864	222
795	864	221
796	865	220
797	865	219
798	866	217
799	866	216
800	867	215
801	867	214
802	868	212
803	868	211
804	869	210
805	869	209
806	870	208
807	870	206
808	871	205
809	871	204
810	872	203
811	873	202
812	873	200
813	874	199
814	874	198
815	875	197
816	875	196
817	876	194
818	876	193
819	877	192
820	877	191
821	878	190
822	878	189
823	879	187
824	880	186
825	881	185
826	881	184
827	882	183
828	882	182
829	883	180
830	884	179
831	884	178
832	885	177
833	885	176
834	886	175
835	886	173
836	887	172
837	887	171
838	888	170
839	888	169
840	889	168
841	889	166
842	890	165
843	890	164
844	891	163
845	891	162
846	892	161
847	892	160
848	893	158
849	893	157
850	894	156
851	894	155
852	895	154
853	895	153
854	896	151
855	896	150
856	897	149
857	897	148
858	899	147
859	900	146
860	901	145
861	901	144
862	902	143
863	902	142
864	903	140
865	903	139
866	904	138
867	904	137
868	905	136
869	906	135
870	906	134
871	907	133
872	908	132
873	908	130
874	909	129
875	909	128
876	910	127
877	910	126
878	911	125
879	911	124
880	912	123
881	912	122
882	913	120
883	914	119
884	914	118
885	915	117
886	916	116
887	916	115
888	917	114
889	917	113
890	918	112
891	918	111
892	919	110
893	919	109
894	920	107
895	921	106
896	921	105
897	921	104
898	922	103
899	922	102
900	923	101
901	923	100
902	924	99
903	924	98
904	925	97
905	925	96
906	926	94
907	926	93
908	927	92
909	927	91
910	928	90
911	930	89
912	931	88
913	931	87
914	932	86
915	932	85
916	933	84
917	933	83
918	934	82
919	934	81
920	935	80
921	935	79
922	936	78
923	936	77
924	937	75
925	937	74
926	938	73
927	938	72
928	939	71
929	939	70
930	940	69
931	940	68
932	941	67
933	941	66
934	941	65
935	942	64
936	942	63
937	943	62
938	944	61
939	945	60
940	945	59
941	946	58
942	947	57
943	947	56
944	948	55
945	948	54
946	949	53
947	949	52
948	950	51
949	950	50
950	950	48
951	951	47
952	951	46
953	952	45
954	953	44
955	953	43
956	954	42
957	954	41
958	955	40
959	955	39
960	956	38
961	956	37
962	957	36
963	957	35
964	958	34
965	959	33
966	960	32
967	961	31
968	962	30
969	962	29
970	963	28
971	963	27
972	964	26
973	964	25
974	965	24
975	965	23
976	966	22
977	966	21
978	967	20
979	967	19
980	968	18
981	969	17
982	969	16
983	970	15
984	970	14
985	971	13
986	971	12
987	972	11
988	972	10
989	973	9
990	974	8
991	975	7
992	976	6
993	976	5
994	977	4
995	977	3
996	978	2
997	978	1
998	979	0
999	980	0
